"","x"
"CME25A7812760Aligned.sortedByCoord.out.bam",7231
"CME25A7812757Aligned.sortedByCoord.out.bam",6812
"CME25A7812759Aligned.sortedByCoord.out.bam",8922
"CME25A7812758Aligned.sortedByCoord.out.bam",4864
"CME25A7812761Aligned.sortedByCoord.out.bam",12585
"CME25A7812756Aligned.sortedByCoord.out.bam",9040
"CME25A7812749Aligned.sortedByCoord.out.bam",7172
"CME25A7812754Aligned.sortedByCoord.out.bam",3830
"CME25A7812745Aligned.sortedByCoord.out.bam",5294
"CME25A7812755Aligned.sortedByCoord.out.bam",10116
"CME25A7812753Aligned.sortedByCoord.out.bam",9195
"CME25A7812750Aligned.sortedByCoord.out.bam",8513
"CME25A7812747Aligned.sortedByCoord.out.bam",10944
"CME25A7812751Aligned.sortedByCoord.out.bam",8948
"CME25A7812752Aligned.sortedByCoord.out.bam",8957
"CME25A7812746Aligned.sortedByCoord.out.bam",9841
"CME25A7812748Aligned.sortedByCoord.out.bam",10315
"CME25A7812744Aligned.sortedByCoord.out.bam",6150
"CME25A7812742Aligned.sortedByCoord.out.bam",13220
"CME25A7812743Aligned.sortedByCoord.out.bam",9296
"CME25A7812715Aligned.sortedByCoord.out.bam",5363
"CME25A7812741Aligned.sortedByCoord.out.bam",13104
"CME25A7812740Aligned.sortedByCoord.out.bam",12333
"CME25A7812717Aligned.sortedByCoord.out.bam",8110
"CME25A7812739Aligned.sortedByCoord.out.bam",12930
"CME25A7812738Aligned.sortedByCoord.out.bam",12140
"CME25A7812737Aligned.sortedByCoord.out.bam",7986
"CME25A7812724Aligned.sortedByCoord.out.bam",9069
"CME25A7812734Aligned.sortedByCoord.out.bam",14343
"CME25A7812732Aligned.sortedByCoord.out.bam",10417
"CME25A7812736Aligned.sortedByCoord.out.bam",9396
"CME25A7812730Aligned.sortedByCoord.out.bam",11896
"CME25A7812735Aligned.sortedByCoord.out.bam",12046
"CME25A7812729Aligned.sortedByCoord.out.bam",12915
"CME25A7812731Aligned.sortedByCoord.out.bam",8533
"CME25A7812726Aligned.sortedByCoord.out.bam",4148
"CME25A7812733Aligned.sortedByCoord.out.bam",6590
"CME25A7812727Aligned.sortedByCoord.out.bam",7954
"CME25A7812725Aligned.sortedByCoord.out.bam",8332
"CME25A7812728Aligned.sortedByCoord.out.bam",8931
"CME25A7812716Aligned.sortedByCoord.out.bam",10307
"CME25A7812722Aligned.sortedByCoord.out.bam",6231
"CME25A7812723Aligned.sortedByCoord.out.bam",6437
"CME25A7812714Aligned.sortedByCoord.out.bam",7614
"CME25A7812718Aligned.sortedByCoord.out.bam",7036
"CME25A7812720Aligned.sortedByCoord.out.bam",5877
"CME25A7812721Aligned.sortedByCoord.out.bam",8166
"CME25A7812710Aligned.sortedByCoord.out.bam",7205
"CME25A7812719Aligned.sortedByCoord.out.bam",9361
"CME25A7812713Aligned.sortedByCoord.out.bam",8752
"CME25A7812712Aligned.sortedByCoord.out.bam",9373
"CME25A7812709Aligned.sortedByCoord.out.bam",6143
"CME25A7812711Aligned.sortedByCoord.out.bam",7054
"CME25A7812707Aligned.sortedByCoord.out.bam",5714
"CME25A7812705Aligned.sortedByCoord.out.bam",8669
"CME25A7812706Aligned.sortedByCoord.out.bam",4759
"CME25A7812708Aligned.sortedByCoord.out.bam",12143
"CME25A7812699Aligned.sortedByCoord.out.bam",7256
"CME25A7812701Aligned.sortedByCoord.out.bam",6120
"CME25A7812703Aligned.sortedByCoord.out.bam",4482
"CME25A7812704Aligned.sortedByCoord.out.bam",6815
"CME25A7812679Aligned.sortedByCoord.out.bam",14019
"CME25A7812677Aligned.sortedByCoord.out.bam",11670
"CME25A7812678Aligned.sortedByCoord.out.bam",7703
"CME25A7812671Aligned.sortedByCoord.out.bam",9362
"CME25A7812676Aligned.sortedByCoord.out.bam",13437
"CME25A7812675Aligned.sortedByCoord.out.bam",11592
"CME25A7812674Aligned.sortedByCoord.out.bam",10739
"CME25A7812670Aligned.sortedByCoord.out.bam",8994
"CME25A7812669Aligned.sortedByCoord.out.bam",9633
"CME25A7812673Aligned.sortedByCoord.out.bam",6366
"CME25A7799646Aligned.sortedByCoord.out.bam",9225
"CME25A7799649Aligned.sortedByCoord.out.bam",14388
"CME25A7799647Aligned.sortedByCoord.out.bam",8870
"CME25A7799648Aligned.sortedByCoord.out.bam",6947
"CME25A7799643Aligned.sortedByCoord.out.bam",13501
"CME25A7799629Aligned.sortedByCoord.out.bam",5791
"CME25A7799645Aligned.sortedByCoord.out.bam",11181
"CME25A7799639Aligned.sortedByCoord.out.bam",9049
"CME25A7799644Aligned.sortedByCoord.out.bam",13356
"CME25A7799641Aligned.sortedByCoord.out.bam",13808
"CME25A7799636Aligned.sortedByCoord.out.bam",6796
"CME25A7799640Aligned.sortedByCoord.out.bam",10282
"CME25A7799637Aligned.sortedByCoord.out.bam",5406
"CME25A7799638Aligned.sortedByCoord.out.bam",10889
"CME25A7799624Aligned.sortedByCoord.out.bam",11056
"CME25A7799633Aligned.sortedByCoord.out.bam",7223
"CME25A7799627Aligned.sortedByCoord.out.bam",10132
"CME25A7799630Aligned.sortedByCoord.out.bam",14451
"CME25A7799634Aligned.sortedByCoord.out.bam",8437
"CME25A7799628Aligned.sortedByCoord.out.bam",12164
"CME25A7799621Aligned.sortedByCoord.out.bam",12741
"CME25A7799625Aligned.sortedByCoord.out.bam",10579
"CME25A7799620Aligned.sortedByCoord.out.bam",10809
"CME25A7799622Aligned.sortedByCoord.out.bam",8307
"CME25A7799623Aligned.sortedByCoord.out.bam",10635
"CME25A7799615Aligned.sortedByCoord.out.bam",14187
"CME25A7799614Aligned.sortedByCoord.out.bam",5989
"CME25A7799616Aligned.sortedByCoord.out.bam",12821
"CME25A7799618Aligned.sortedByCoord.out.bam",9023
"CME25A7799612Aligned.sortedByCoord.out.bam",11890
"CME25A7799605Aligned.sortedByCoord.out.bam",14128
"CME25A7799606Aligned.sortedByCoord.out.bam",7641
"CME25A7799611Aligned.sortedByCoord.out.bam",14327
"CME25A7799603Aligned.sortedByCoord.out.bam",8762
"CME25A7799604Aligned.sortedByCoord.out.bam",6686
"CME25A7799608Aligned.sortedByCoord.out.bam",6955
"CME25A7799610Aligned.sortedByCoord.out.bam",13268
"CME25A7799609Aligned.sortedByCoord.out.bam",12848
"CME25A7799598Aligned.sortedByCoord.out.bam",10031
"CME25A7799602Aligned.sortedByCoord.out.bam",6166
"CME25A7799601Aligned.sortedByCoord.out.bam",7538
"CME25A7799590Aligned.sortedByCoord.out.bam",13729
"CME25A7799600Aligned.sortedByCoord.out.bam",8743
"CME25A7799599Aligned.sortedByCoord.out.bam",12694
"CME25A7799597Aligned.sortedByCoord.out.bam",10460
"CME25A7799594Aligned.sortedByCoord.out.bam",11942
"CME25A7799591Aligned.sortedByCoord.out.bam",8031
"CME25A7799588Aligned.sortedByCoord.out.bam",8640
"CME25A7799592Aligned.sortedByCoord.out.bam",12819
"CME25A7799593Aligned.sortedByCoord.out.bam",5695
"CME25A7799584Aligned.sortedByCoord.out.bam",11171
"CME25A7799589Aligned.sortedByCoord.out.bam",5392
"CME25A7799580Aligned.sortedByCoord.out.bam",11323
"CME25A7799583Aligned.sortedByCoord.out.bam",12474
"CME25A7799582Aligned.sortedByCoord.out.bam",7209
"CME25A7799585Aligned.sortedByCoord.out.bam",4802
"CME25A7799581Aligned.sortedByCoord.out.bam",7258
"CME25A7799586Aligned.sortedByCoord.out.bam",8215
"CME25A7799579Aligned.sortedByCoord.out.bam",8255
"CME25A7799573Aligned.sortedByCoord.out.bam",4551
"CME25A7799577Aligned.sortedByCoord.out.bam",7183
"CME25A7799578Aligned.sortedByCoord.out.bam",6077
"CME25A7799571Aligned.sortedByCoord.out.bam",11058
"CME25A7799574Aligned.sortedByCoord.out.bam",6026
"CME25A7799575Aligned.sortedByCoord.out.bam",14463
"CME25A7799570Aligned.sortedByCoord.out.bam",9437
"CME25A7799560Aligned.sortedByCoord.out.bam",11179
"CME25A7799572Aligned.sortedByCoord.out.bam",11036
"CME25A7799569Aligned.sortedByCoord.out.bam",4879
"CME25A7799567Aligned.sortedByCoord.out.bam",10945
"CME25A7799568Aligned.sortedByCoord.out.bam",8755
"CME25A7799566Aligned.sortedByCoord.out.bam",7471
"CME25A7799565Aligned.sortedByCoord.out.bam",9804
"CME25A7799564Aligned.sortedByCoord.out.bam",9799
"CME25A7799559Aligned.sortedByCoord.out.bam",8317
"CME25A7799562Aligned.sortedByCoord.out.bam",10203
"CME25A7799561Aligned.sortedByCoord.out.bam",7118
"CME25A7796092Aligned.sortedByCoord.out.bam",12987
"CME25A7799557Aligned.sortedByCoord.out.bam",9102
"CME25A7799555Aligned.sortedByCoord.out.bam",10902
"CME25A7799558Aligned.sortedByCoord.out.bam",10321
"CME25A7796088Aligned.sortedByCoord.out.bam",3862
"CME25A7796084Aligned.sortedByCoord.out.bam",9944
"CME25A7796091Aligned.sortedByCoord.out.bam",10942
"CME25A7796087Aligned.sortedByCoord.out.bam",9190
"CME25A7796090Aligned.sortedByCoord.out.bam",10598
"CME25A7796089Aligned.sortedByCoord.out.bam",10703
"CME25A7796086Aligned.sortedByCoord.out.bam",5427
"CME25A7796081Aligned.sortedByCoord.out.bam",14466
"CME25A7796079Aligned.sortedByCoord.out.bam",9419
"CME25A7796083Aligned.sortedByCoord.out.bam",8185
"CME25A7796082Aligned.sortedByCoord.out.bam",7564
"CME25A7796080Aligned.sortedByCoord.out.bam",10516
"CME25A7796085Aligned.sortedByCoord.out.bam",11024
"CME25A7796076Aligned.sortedByCoord.out.bam",5470
"CME25A7796078Aligned.sortedByCoord.out.bam",4621
"CME25A7796075Aligned.sortedByCoord.out.bam",9610
"CME25A7796077Aligned.sortedByCoord.out.bam",8226
"CME25A7796073Aligned.sortedByCoord.out.bam",9192
"CME25A7796074Aligned.sortedByCoord.out.bam",6934
"CME25A7796071Aligned.sortedByCoord.out.bam",12261
"CME25A7796072Aligned.sortedByCoord.out.bam",8622
"CME25A7796066Aligned.sortedByCoord.out.bam",6098
"CME25A7796067Aligned.sortedByCoord.out.bam",11005
"CME25A7796068Aligned.sortedByCoord.out.bam",10285
"CME25A7796070Aligned.sortedByCoord.out.bam",10549
"CME25A7796069Aligned.sortedByCoord.out.bam",10084
"CME25A7796065Aligned.sortedByCoord.out.bam",6654
"CME25A7796059Aligned.sortedByCoord.out.bam",11635
"CME25A7796062Aligned.sortedByCoord.out.bam",11945
"CME25A7796050Aligned.sortedByCoord.out.bam",11138
"CME25A7796064Aligned.sortedByCoord.out.bam",10715
"CME25A7796057Aligned.sortedByCoord.out.bam",5425
"CME25A7796060Aligned.sortedByCoord.out.bam",11985
"CME25A7796058Aligned.sortedByCoord.out.bam",10114
"CME25A7796055Aligned.sortedByCoord.out.bam",9569
"CME25A7796063Aligned.sortedByCoord.out.bam",14696
"CME25A7796056Aligned.sortedByCoord.out.bam",7269
"CME25A7796061Aligned.sortedByCoord.out.bam",11707
"CME25A7796053Aligned.sortedByCoord.out.bam",13888
"CME25A7796052Aligned.sortedByCoord.out.bam",10834
"CME25A7796049Aligned.sortedByCoord.out.bam",6377
"CME25A7619367Aligned.sortedByCoord.out.bam",11667
"CME25A7619357Aligned.sortedByCoord.out.bam",14856
"CME25A7619358Aligned.sortedByCoord.out.bam",10022
"CME25A7619359Aligned.sortedByCoord.out.bam",8723
"CME25A7619356Aligned.sortedByCoord.out.bam",16148
"CME25A7619354Aligned.sortedByCoord.out.bam",12466
"CME25A7619355Aligned.sortedByCoord.out.bam",14242
"CME25A7619352Aligned.sortedByCoord.out.bam",14583
"CME25A7619346Aligned.sortedByCoord.out.bam",13379
"CME25A7619347Aligned.sortedByCoord.out.bam",4304
"CME25A7619350Aligned.sortedByCoord.out.bam",15384
"CME25A7619353Aligned.sortedByCoord.out.bam",8140
"CME25A7619348Aligned.sortedByCoord.out.bam",14482
"CME25A7619351Aligned.sortedByCoord.out.bam",15022
"CME25A7619345Aligned.sortedByCoord.out.bam",13170
"CME25A7619341Aligned.sortedByCoord.out.bam",15881
"CME25A7619344Aligned.sortedByCoord.out.bam",13894
"CME25A7619343Aligned.sortedByCoord.out.bam",14269
"CME25A7619349Aligned.sortedByCoord.out.bam",13399
"CME25A7619339Aligned.sortedByCoord.out.bam",14896
"CME25A7619342Aligned.sortedByCoord.out.bam",6603
"CME25A7619340Aligned.sortedByCoord.out.bam",14405
"CME25A7619337Aligned.sortedByCoord.out.bam",13925
"CME25A7619333Aligned.sortedByCoord.out.bam",12760
"CME25A7619336Aligned.sortedByCoord.out.bam",15652
"CME25A7619334Aligned.sortedByCoord.out.bam",16069
"CME25A7619330Aligned.sortedByCoord.out.bam",14841
"CME25A7619335Aligned.sortedByCoord.out.bam",6253
"CME25A7619332Aligned.sortedByCoord.out.bam",13333
"CME25A7619327Aligned.sortedByCoord.out.bam",14166
"CME25A7619331Aligned.sortedByCoord.out.bam",14871
"CME25A7619328Aligned.sortedByCoord.out.bam",6479
"CME25A7619326Aligned.sortedByCoord.out.bam",14767
"CME25A7619323Aligned.sortedByCoord.out.bam",15094
"CME25A7619325Aligned.sortedByCoord.out.bam",15966
"CME25A7619324Aligned.sortedByCoord.out.bam",15956
"CME25A7619322Aligned.sortedByCoord.out.bam",13222
"CME25A7619321Aligned.sortedByCoord.out.bam",7282
"CME25A7619315Aligned.sortedByCoord.out.bam",12984
"CME25A7619320Aligned.sortedByCoord.out.bam",7739
"CME25A7619319Aligned.sortedByCoord.out.bam",4676
"CME25A7619317Aligned.sortedByCoord.out.bam",6059
"CME25A7619318Aligned.sortedByCoord.out.bam",13980
"CME25A7619316Aligned.sortedByCoord.out.bam",6993
"CME25A7619314Aligned.sortedByCoord.out.bam",9786
"CME25A7619312Aligned.sortedByCoord.out.bam",8816
"CME25A7619309Aligned.sortedByCoord.out.bam",8594
"CME25A7619310Aligned.sortedByCoord.out.bam",10233
"CME25A7619306Aligned.sortedByCoord.out.bam",8425
"CME25A7619308Aligned.sortedByCoord.out.bam",13349
"CME25A7619305Aligned.sortedByCoord.out.bam",10362
"CME25A7619307Aligned.sortedByCoord.out.bam",7649
"CME25A7619302Aligned.sortedByCoord.out.bam",11981
"CME25A7619301Aligned.sortedByCoord.out.bam",8971
"CME25A7619303Aligned.sortedByCoord.out.bam",11954
"CME25A7619298Aligned.sortedByCoord.out.bam",9572
"CME25A7619300Aligned.sortedByCoord.out.bam",15499
"CME25A7619304Aligned.sortedByCoord.out.bam",10025
"CME25A7619299Aligned.sortedByCoord.out.bam",7569
"CME25A7619294Aligned.sortedByCoord.out.bam",13542
"CME25A7619296Aligned.sortedByCoord.out.bam",14429
"CME25A7619293Aligned.sortedByCoord.out.bam",9639
"CME25A7619295Aligned.sortedByCoord.out.bam",5534
"CME25A7619292Aligned.sortedByCoord.out.bam",11535
"CME25A7619284Aligned.sortedByCoord.out.bam",15424
"CME25A7619291Aligned.sortedByCoord.out.bam",12926
"CME25A7619286Aligned.sortedByCoord.out.bam",14187
"CME25A7619290Aligned.sortedByCoord.out.bam",13280
"CME25A7619282Aligned.sortedByCoord.out.bam",10593
"CME25A7619288Aligned.sortedByCoord.out.bam",12771
"CME25A7619285Aligned.sortedByCoord.out.bam",12017
"CME25A7619281Aligned.sortedByCoord.out.bam",13093
"CME25A7619289Aligned.sortedByCoord.out.bam",8099
"CME25A7619283Aligned.sortedByCoord.out.bam",12110
"CME25A7619280Aligned.sortedByCoord.out.bam",8105
"CME25A7619278Aligned.sortedByCoord.out.bam",16797
"CME25A7619279Aligned.sortedByCoord.out.bam",5620
"CME25A7619277Aligned.sortedByCoord.out.bam",4781
"CME25A7619274Aligned.sortedByCoord.out.bam",12026
"CME25A7619276Aligned.sortedByCoord.out.bam",5029
"CME25A7619272Aligned.sortedByCoord.out.bam",4894
"CME25A7619275Aligned.sortedByCoord.out.bam",13042
"CME25A7619271Aligned.sortedByCoord.out.bam",6171
"CME25A7619269Aligned.sortedByCoord.out.bam",6132
"CME25A7619273Aligned.sortedByCoord.out.bam",11766
"CME25A7619270Aligned.sortedByCoord.out.bam",8310
"CME25A7619265Aligned.sortedByCoord.out.bam",12673
"CME25A7619267Aligned.sortedByCoord.out.bam",5394
"CME25A7619268Aligned.sortedByCoord.out.bam",5646
"CME25A7619266Aligned.sortedByCoord.out.bam",7470
"CME25A7587400Aligned.sortedByCoord.out.bam",7297
"CME25A7587403Aligned.sortedByCoord.out.bam",14597
"CME25A7619264Aligned.sortedByCoord.out.bam",14818
"CME25A7587401Aligned.sortedByCoord.out.bam",6252
"CME25A7587399Aligned.sortedByCoord.out.bam",10974
"CME25A7587398Aligned.sortedByCoord.out.bam",11861
"CME25A7587402Aligned.sortedByCoord.out.bam",7706
"CME25A7587397Aligned.sortedByCoord.out.bam",10122
"CME25A7587396Aligned.sortedByCoord.out.bam",6336
"CME25A7587392Aligned.sortedByCoord.out.bam",7215
"CME25A7587394Aligned.sortedByCoord.out.bam",7206
"CME25A7587393Aligned.sortedByCoord.out.bam",14028
"CME25A7587395Aligned.sortedByCoord.out.bam",9862
"CME25A7587388Aligned.sortedByCoord.out.bam",10974
"CME25A7587391Aligned.sortedByCoord.out.bam",13366
"CME25A7587389Aligned.sortedByCoord.out.bam",8772
"CME25A7587390Aligned.sortedByCoord.out.bam",5616
"CME25A7587386Aligned.sortedByCoord.out.bam",11110
"CME25A7587376Aligned.sortedByCoord.out.bam",7041
"CME25A7587385Aligned.sortedByCoord.out.bam",7463
"CME25A7587378Aligned.sortedByCoord.out.bam",9259
"CME25A7587387Aligned.sortedByCoord.out.bam",12048
"CME25A7587380Aligned.sortedByCoord.out.bam",10304
"CME25A7587381Aligned.sortedByCoord.out.bam",11268
"CME25A7587383Aligned.sortedByCoord.out.bam",7994
"CME25A7587382Aligned.sortedByCoord.out.bam",11091
"CME25A7587377Aligned.sortedByCoord.out.bam",10422
"CME25A7587384Aligned.sortedByCoord.out.bam",8014
"CME25A7587379Aligned.sortedByCoord.out.bam",14957
"CME25A7587375Aligned.sortedByCoord.out.bam",13249
"CME25A7587369Aligned.sortedByCoord.out.bam",9370
"CME25A7587373Aligned.sortedByCoord.out.bam",12095
"CME25A7587374Aligned.sortedByCoord.out.bam",4298
"CME25A7587370Aligned.sortedByCoord.out.bam",3872
"CME25A7587368Aligned.sortedByCoord.out.bam",5039
"CME25A7587372Aligned.sortedByCoord.out.bam",5098
"CME25A7587371Aligned.sortedByCoord.out.bam",6110
